shotnum,tstart,tend,ip,bcentr,density,ptot,rsurf,kappa,aminor,wmhd,wfast,wdot,pinj,pnbi,echpwrc,vloop,betan,taue,tauth,h_thh98y2,h_l89,cerqrott6,q95,tste_core,tsne_core,cerqtit6,cerqnzt6,n1rms,n2rms,nm1rms,tok,tinj,zefft6,ceratit6,cerarott6,nbvac21lt,nbvac21rt,pohm,pech,vsurf,area
193761,4400,4750,586790.625,-1.2176190614700315,59988428512056.5,5655844.5,1.7405823469161987,1.3881937265396118,0.571244478225708,322663.53125,45533.91015625,1467.51416015625,5898.974609375,5845130.5,-37.293155376816834,0.3328687846660614,3.124288558959961,0.0570775456726551,0.0490223318338394,1.0318361520767212,1.6544744968414309,-48.65919876098633,2.7705187797546387,810.8779907226562,5.673209959268378e+19,1037.128173828125,1.6922356688827187e+18,4.565755367279053,0.5689591765403748,1.6944572925567627,NT,4.689449310302734,1.828104376792908,1072.0831298828125,-49.04818344116211,-0.0008454106864519,-0.0006583594367839,181861.328125,219.3716583251953,0.3037836253643036,1.2717034816741943
193763,3460,4200,983749.9375,-2.026247978210449,60263032940956.51,4766959.5,1.7346118688583374,1.4566185474395752,0.5562991499900818,622182.75,62745.0,9966.7255859375,4839.2861328125,4610736.0,-53.61051923289072,0.2982456088066101,2.060152053833008,0.130858227610588,0.1176609769463539,1.2095003128051758,1.996704697608948,-73.81710815429688,2.7933950424194336,1419.0572509765625,6.26480394981186e+19,1538.7965087890625,1.799785498265256e+18,1.9184986352920528,0.1735921055078506,1.792680740356445,NT,4.010600566864014,1.874087691307068,1569.3309326171875,-73.85018920898438,-0.0004639271355699,-0.0005378916976042,274489.09375,-112.68775939941406,0.263763427734375,1.2999926805496216
193763,4320,4920,982803.6875,-2.0336410999298096,58945785539956.84,5932854.5,1.7347722053527832,1.4614852666854858,0.5561190247535706,678347.5,87625.3046875,7239.5068359375,5896.40673828125,5841969.0,-14.854430217185069,0.2441226840019226,2.236210584640503,0.1146040856838226,0.0998081564903259,1.2020554542541504,1.9511526823043823,-78.2723159790039,2.825969934463501,1555.5091552734375,6.015722344874089e+19,1708.580078125,1.913435005841834e+18,2.3631017208099365,0.2327965795993805,2.22808837890625,NT,4.681166648864746,1.9579867124557493,1744.4892578125,-78.2861557006836,-0.000615180179011,-0.0007231798372231,232322.3125,480.4504089355469,0.226761594414711,1.3019431829452517
193765,3820,4300,983855.0625,-2.023175001144409,68101587136912.22,6569671.0,1.7350409030914309,1.4597128629684448,0.5556573271751404,728580.25,79644.578125,88785.9765625,6738.37890625,6491123.0,-51.76370433131527,0.2129450440406799,2.422983407974243,0.1126562654972076,0.1003444269299507,1.213512897491455,1.977402806282044,-82.11727142333984,2.804325580596924,1481.444091796875,6.908088620804997e+19,1646.1556396484375,2.08317829813266e+18,1.9279708862304688,0.3367086946964264,1.431129813194275,NT,5.8731303215026855,1.9072107076644893,1688.4703369140625,-82.0702896118164,-0.0008833982865326,-0.0013295488897711,272863.75,97.78250885009766,0.232621818780899,1.2952601909637451
193765,5140,5700,983486.875,-2.0293898582458496,65609895363183.26,9099150.0,1.7354696989059448,1.4660677909851074,0.55621737241745,858228.1875,131429.4375,52249.59375,9108.2978515625,9124527.0,-114.13147354125977,0.1968131512403488,2.8419692516326904,0.0949174016714096,0.0803838595747947,1.2408777475357056,1.971447467803955,-83.94126892089844,2.857543468475342,1749.209716796875,6.496597273719131e+19,2021.539794921875,2.422932201478816e+18,3.6394410133361816,0.5645470023155212,2.231905221939087,NT,7.424714088439941,2.0920863151550293,2074.279541015625,-83.95196533203125,-0.0009913605172187,-0.0015055574476718,242956.65625,-114.1314468383789,0.1923708021640777,1.299809813499451
193765,2280,2760,985093.875,-2.018068790435791,60896880383339.484,4071470.0,1.7345577478408811,1.4504055976867676,0.5555614233016968,589665.3125,50040.046875,58611.6796875,3925.94384765625,3885372.75,-81.94822241353339,0.2981660068035126,1.9677445888519287,0.1474800109863281,0.1349517405033111,1.2278879880905151,2.0636768341064453,-88.65065002441406,2.7470648288726807,1359.458984375,6.3200746401215545e+19,1530.5,1.380799687509934e+18,1.484905481338501,0.1385821402072906,1.543145775794983,NT,3.766530513763428,1.6497548818588257,1560.409912109375,-88.56317138671875,-0.0003913509717676,-0.0007744903559796,262289.40625,661.5896606445312,0.2817168533802032,1.2920100688934326
193765,4500,4900,983524.625,-2.024735689163208,66737600877794.85,7756961.0,1.7354514598846436,1.4613381624221802,0.5558186769485474,793168.3125,103892.5390625,3185.91845703125,7749.46875,7730750.5,-96.1202420922551,0.2059038430452346,2.638154983520508,0.1023479551076889,0.0889436304569244,1.2284263372421265,1.968822240829468,-83.78474426269531,2.8212718963623047,1585.927978515625,6.635524086325838e+19,1818.4295654296875,2.17216644709299e+18,2.024836540222168,0.3590517938137054,1.6852059364318848,NT,6.540253639221191,1.966033935546875,1866.351806640625,-83.74800872802734,-0.0009406866156496,-0.0014647532952949,258286.71875,8.476213455200195,0.2096093744039535,1.295379400253296
193769,4100,4680,981171.75,-2.0233817100524902,65166326694224.15,4498203.5,1.7345844507217407,1.4430270195007324,0.5561861395835876,443398.21875,37402.94921875,7027.45751953125,4162.7587890625,4118659.75,13.965748622760456,0.4625019431114197,1.4849817752838137,0.0987495556473732,0.0904204472899437,0.8714526295661926,1.4625505208969116,-0.1873992532491684,2.741887092590332,996.6708374023438,6.7937332542511776e+19,1031.966064453125,2.030306082487796e+18,0.5174665451049805,0.0209939442574977,0.8298975229263306,NT,0.31787770986557,1.901551604270935,1058.1390380859375,-0.4143734574317932,-0.0012706883717328,5.07226037979126,392519.53125,-42.38909149169922,0.4898981750011444,1.2918034791946411
193769,2880,3345,983690.75,-2.019407033920288,62320006021664.88,5405932.5,1.7347793579101562,1.4392482042312622,0.5560310482978821,451507.09375,41802.86328125,-14700.5302734375,4153.740234375,4134175.0,928304.9471898184,0.4181484282016754,1.51541268825531,0.0833003893494606,0.0755875930190086,0.8453237414360046,1.361272215843201,1.633236527442932,2.7154242992401123,1057.288330078125,6.497927242984089e+19,1078.9249267578125,1.9206218261578383e+18,0.6333406567573547,0.031373955309391,0.8464104533195496,NT,0.3168670237064361,1.886907935142517,1106.5833740234375,1.4220644235610962,-0.0011878559598699,5.072197437286377,430920.6875,930302.4375,0.4346680641174316,1.2870498895645142
193770,2040,2760,984873.6875,-2.01702094078064,56036033352381.9,3554940.75,1.7335233688354492,1.432744026184082,0.5563709735870361,379466.875,23777.64453125,45045.0625,2245.235595703125,2212904.5,941419.4636960976,0.4577193260192871,1.276026964187622,0.1082706674933433,0.1014801710844039,0.8786011934280396,1.440561294555664,-0.4776759743690491,2.689013957977295,1014.2009887695312,5.937800835422906e+19,1020.2767333984376,1.6675914901356544e+18,0.3088677227497101,0.0167222302407026,0.7260282635688782,NT,0.3458556532859802,1.8472204208374023,1044.857421875,-0.7808208465576172,-0.0010052054421976,2.511599063873291,464140.09375,941600.625,0.4648299217224121,1.2856183052062988
